"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.17777",1449.89608711501,-7.38267405069895,0.276173444843182,-26.7320199988489,1.9984362903192e-157,3.37595842523623e-153
"MSTRG.6235",2935.06435312147,-5.77701880955799,0.322258379050349,-17.9266674976212,7.3027739575009e-72,6.16828802320314e-68
"MSTRG.17787",210.334545915161,7.86699183079136,0.489762364417168,16.0628753909119,4.64509359296371e-58,2.61565220219786e-54
"MSTRG.10970",326.969730884234,-5.59551062851603,0.350851476953508,-15.9483741584975,2.92410731188368e-57,1.23492362049127e-53
"MSTRG.5736",1525.09138604619,-7.39248530822358,0.470200465023907,-15.7219863826543,1.06918344071471e-55,3.61234317279873e-52
"MSTRG.5413",951.734576997872,2.27778639634673,0.149487991803324,15.2372532995395,2.00107478131683e-52,5.63402604679752e-49
"MSTRG.5708",2382.07613612895,-5.60666794798699,0.373576908950494,-15.0080687902741,6.50131569415447e-51,1.56895322887645e-47
"MSTRG.17140",4949.8577647206,1.75850465486232,0.119466472205326,14.7196499771082,4.82149415611147e-49,1.01811875973989e-45
"MSTRG.3567",1939.69246393425,-7.16164596286806,0.503065332227105,-14.2360156903736,5.47614644977618e-46,1.02787268862299e-42
"MSTRG.13805",61.8226755447035,3.40594053209986,0.24062011951801,14.154845151446,1.74321305214096e-45,2.94480980898172e-42
"MSTRG.15068",331.15188987621,-1.9647866251425,0.146227490213057,-13.4365065165228,3.69471766573877e-41,5.67407868430227e-38
"MSTRG.3326",419.158424438061,-3.79432528829839,0.282603751209042,-13.4263090000236,4.24024978994715e-41,5.9692116417981e-38
"MSTRG.6770",647.357845379831,-6.10352146787609,0.457011912769926,-13.3552787079071,1.10344370647554e-40,1.4338826564224e-37
"MSTRG.14401",194.357016638334,-3.95907103777409,0.296799619684187,-13.339205225353,1.36911383206092e-40,1.65203142607179e-37
"MSTRG.5623",821.579249275023,3.85078893281715,0.289091574097833,13.3203084345654,1.76377329679445e-40,1.98636148684991e-37
"MSTRG.6765",1105.95019134673,-4.08936434493283,0.31476659832457,-12.9917353578797,1.36301010371035e-38,1.43908310512368e-35
"MSTRG.11328",368.740896058475,2.03759109871406,0.157215947420049,12.960460641248,2.05012695416797e-38,1.92107215285012e-35
"MSTRG.6236",441.234942347808,-3.32182718469858,0.256384424707296,-12.9564312983949,2.16068021690358e-38,1.92107215285012e-35
"MSTRG.4919",11843.2390847933,1.10822887144077,0.0855154894520865,12.9593934214889,2.07884864703162e-38,1.92107215285012e-35
"MSTRG.3083",2215.04422129626,1.64899336318263,0.130747743685957,12.6120215668375,1.81282536688173e-36,1.53120294613666e-33
"MSTRG.9491",1788.77670420945,1.39548286509179,0.111446547049439,12.5215442024663,5.6916906503577e-36,4.5785585788806e-33
"MSTRG.6850",187.863688369885,-8.40841127536885,0.691523714839969,-12.1592522352103,5.12254285100536e-34,3.93341438100152e-31
"MSTRG.14484",2407.01463551621,1.0988494501058,0.0915941513530523,11.9969390389377,3.6868070355589e-33,2.70787961963898e-30
"MSTRG.16339",2664.27569380256,2.27416855272456,0.189682101143096,11.98936820617,4.03974559163401e-33,2.84347592831139e-30
"MSTRG.5737",1447.81028612966,-6.67954923599218,0.560301485231358,-11.9213484383931,9.16136281106066e-33,6.19051607868991e-30
"MSTRG.15799",121.543774989146,-8.04509865250746,0.687386522137625,-11.7038935059258,1.21736874369837e-31,7.90961930280637e-29
"MSTRG.8127",1069.23549952284,-2.85726412294381,0.245712038758819,-11.6285068382359,2.95216282649188e-31,1.84706987510842e-28
"MSTRG.15102",106.542184152487,-3.14383167041509,0.270580734136392,-11.6188304405678,3.30631371259797e-31,1.99476991238991e-28
"MSTRG.12049",193.639303127247,2.72098448584494,0.235415087465575,11.5582417216264,6.70679821914035e-31,3.90682559710131e-28
"MSTRG.15350",8343.69318018586,-3.93044867520637,0.341019031800807,-11.5255991856261,9.80278422754806e-31,5.51994779853231e-28
"MSTRG.17359",1250.23675286808,1.70633932461701,0.150792809041241,11.3157871085904,1.09614100935306e-29,5.97326131322622e-27
"MSTRG.15912",31389.1340944376,1.75436952867016,0.156265721720604,11.2268353504097,3.01069540736757e-29,1.58936492239564e-26
"MSTRG.10867",129.922899702024,2.58734054487899,0.230818600763813,11.2094109240637,3.666252145233e-29,1.87678780270973e-26
"MSTRG.13640",227.316530517433,-6.29996470886308,0.562807734464362,-11.1938133097245,4.37216993046666e-29,2.17232548927568e-26
"MSTRG.6670",249.82529483686,-6.24496726527155,0.559486093917201,-11.1619704817824,6.25887204925729e-29,3.02088930080295e-26
"MSTRG.1570",802.348671641959,1.26353808489003,0.114175414488453,11.0666389130369,1.8210310519719e-28,8.43051474425811e-26
"MSTRG.7547",4116.94562270496,0.556192893982304,0.0502641750265816,11.0653938652762,1.84649881925975e-28,8.43051474425811e-26
"MSTRG.11443",2769.38838192539,-1.22985452551643,0.111518566580907,-11.028249046083,2.79248817195355e-28,1.24140796549503e-25
"MSTRG.6358",335.95436430637,1.89368251287456,0.174737310060385,10.837310659184,2.29107176060976e-27,9.92386544922581e-25
"MSTRG.12193",1033.68548443879,0.91385533311866,0.0846252015857911,10.7988556126772,3.48520203515623e-27,1.47188794949735e-24
"MSTRG.6203",172.971705728177,8.06835895864946,0.753731369558748,10.7045550769273,9.68949997693318e-27,3.9923103197642e-24
"MSTRG.7927",2124.79491078873,1.31734997622729,0.123412258573379,10.6743851174558,1.34142655651392e-26,5.39540924266419e-24
"MSTRG.8648",218.400785479366,-1.86995628988604,0.176002812803512,-10.6245818467324,2.29036294123365e-26,8.99793050378141e-24
"MSTRG.18534",2249.06242234442,1.97296566451586,0.186192750061567,10.5963613720914,3.09800155784408e-26,1.18942137083318e-23
"MSTRG.6595",1190.48726019044,1.03438016686869,0.0985254591264497,10.498607933825,8.76633262876999e-26,3.29088126884025e-23
"MSTRG.417",1420.26957931894,1.49735732915154,0.143573585032262,10.4291978835457,1.82421692489896e-25,6.69923837224308e-23
"MSTRG.13757",1833.83858166186,-1.110358051147,0.10735057347002,-10.3432894232008,4.48860396658421e-25,1.61331886824483e-22
"MSTRG.17997",211.979172706556,3.55197486054304,0.343752994492535,10.3329277633978,5.00104075127561e-25,1.76005377940206e-22
"MSTRG.8307",172.683893838651,2.08427774068022,0.203922080235558,10.2209517393732,1.59764482290981e-24,5.50198121400971e-22
"MSTRG.12955",190.747186438185,2.9515880010532,0.288830560518166,10.2190986845644,1.62847961108439e-24,5.50198121400971e-22
"MSTRG.6036",3112.71125340513,0.69354443360326,0.0681587778775301,10.1754235507192,2.55286925756267e-24,8.45600399372669e-22
"MSTRG.10455",1574.66337492279,2.10549304873709,0.209395146928099,10.0551186578363,8.72163029689535e-24,2.8333557808741e-21
"MSTRG.14057",219.185725458177,-1.50568817600636,0.151004637364172,-9.97113865036573,2.03877924758058e-23,6.4983203451658e-21
"MSTRG.12021",219.198357391216,3.91761907383938,0.393631114310353,9.95251374044224,2.458922028779e-23,7.69232774669698e-21
"MSTRG.10565",278.266441817778,1.68194960355922,0.169209081161894,9.94006699882724,2.78639667932475e-23,8.55829074615146e-21
"MSTRG.16788",1999.71457033789,0.941667209417152,0.094896474755279,9.92310000814618,3.30333880548871e-23,9.96487543591442e-21
"MSTRG.15911",1179.15461920596,1.30828638597511,0.132917498281948,9.84284539572016,7.35992717207771e-23,2.16547687680126e-20
"MSTRG.16906",796.077192290833,2.49820050997866,0.253835060327506,9.84182605332534,7.43489367515971e-23,2.16547687680126e-20
"MSTRG.8780",656.070815925519,-1.80006257961725,0.183153684262127,-9.82815380902207,8.5165681989912e-23,2.43848112856878e-20
"MSTRG.6288",159.899731717152,-2.81358937735008,0.286559075827988,-9.8185317258595,9.36982740909391e-23,2.63807490703039e-20
"MSTRG.8128",252.167469519488,-3.10957439972257,0.317337478919442,-9.79895097897323,1.13760915626212e-22,3.15043138962884e-20
"MSTRG.953",40.4473491076621,3.42283754046418,0.350753693981142,9.75852171822946,1.69609415445353e-22,4.62130944373928e-20
"MSTRG.1765",66.4090966232635,3.04293128269886,0.313332583328954,9.71150606288595,2.6932771772464e-22,7.22183037384499e-20
"MSTRG.17789",807.605129959598,3.35490832021288,0.346599348373951,9.67949979119184,3.68514552682673e-22,9.72705677885686e-20
"MSTRG.4547",10431.6047479602,1.55798225849203,0.161026148003673,9.67533706672588,3.83824741620757e-22,9.97530978492223e-20
"MSTRG.3563",257.848509447593,-3.67036885398819,0.381881185223888,-9.61128486033249,7.16492531964507e-22,1.83389520340552e-19
"MSTRG.4967",54.5693269019549,3.02360249017031,0.315531556167345,9.58256767372805,9.46617563260407e-22,2.38674783524747e-19
"MSTRG.11805",11847.3433201924,0.498100035385294,0.0519945627109948,9.57984853443081,9.71873584731159e-22,2.41439124512698e-19
"MSTRG.5204",465.355993661651,1.46636608730673,0.153236556862971,9.56929676133351,1.07635293260277e-21,2.63519276673313e-19
"MSTRG.14290",4526.90489448286,1.52415165027118,0.159388193484088,9.56251286217972,1.14931602605987e-21,2.77362794688991e-19
"MSTRG.7993",581.673583852183,1.0535151602329,0.110445080928568,9.53881468849007,1.4447408522299e-21,3.43746580517179e-19
"MSTRG.11140",425.147695684139,1.64210994027228,0.172248214293785,9.53339311530693,1.52224666685047e-21,3.57157124209792e-19
"MSTRG.9110",450.758966541724,2.8151010084382,0.2960287573654,9.50955249581855,1.91484482490761e-21,4.43116077084441e-19
"MSTRG.3137",2482.26276867085,-5.90292375553521,0.621432232083354,-9.498901812263,2.12115380777202e-21,4.84225017225577e-19
"hxAUG26res20g199t1",41.0540670584776,-6.80834860968293,0.717089870378657,-9.49441470437702,2.21451910748341e-21,4.98798283769563e-19
"MSTRG.9252",2123.66688002045,0.868873356876932,0.0915612128011455,9.48953525510817,2.32066577970648e-21,5.15829039691862e-19
"MSTRG.784",467.227555349794,3.15119831412051,0.332282719027238,9.48348539865598,2.45928444787018e-21,5.39541456855467e-19
"MSTRG.4523",38.7315070407633,2.70455637387234,0.286788348963708,9.43049598648301,4.08154340126785e-21,8.83968111251511e-19
"MSTRG.17490",4558.57448318322,2.280446316431,0.242121117715242,9.41861799561417,4.57064085346079e-21,9.77365011867255e-19
