GeneID,Log2FoldChange,p-value,Adjustedp-value
"MSTRG.17777",-7.38267405069895,1.9984362903192e-157,3.37595842523623e-153
"MSTRG.3560",-5.90946041822237,5.36749236672346e-13,3.28014199982052e-11
"MSTRG.5626",0.644130536889264,3.13883927309904e-19,5.29550723727251e-17
"MSTRG.6053",-0.633252162218025,9.45527229955446e-07,1.62490249192649e-05
"MSTRG.3567",-7.16164596286806,5.47614644977618e-46,1.02787268862299e-42
"MSTRG.13805",3.40594053209986,1.74321305214096e-45,2.94480980898172e-42
"MSTRG.6771",-4.20866149463316,1.21756247496241e-07,2.62685605230395e-06
"MSTRG.6999",-0.324839803608527,2.19462233408415e-05,0.000250160290753601
"MSTRG.6235",-5.77701880955799,7.3027739575009e-72,6.16828802320314e-68
"MSTRG.10637",0.949651757297246,8.04766524729565e-18,1.04576314632743e-15
"MSTRG.17787",7.86699183079136,4.64509359296371e-58,2.61565220219786e-54
"MSTRG.10946",0.698848710493088,5.42303574607838e-05,0.000547260112655329
"MSTRG.5214",-0.606085609075129,0.000567576361314751,0.00398175559455568
"MSTRG.5413",2.27778639634673,2.00107478131683e-52,5.63402604679752e-49
"MSTRG.1070",6.18358836026246,1.08334784699211e-16,1.14381219870236e-14
"MSTRG.17611",-0.632025659205799,2.47733123655111e-14,1.90225257177536e-12
"MSTRG.10970",-5.59551062851603,2.92410731188368e-57,1.23492362049127e-53
"MSTRG.6850",-8.40841127536885,5.12254285100536e-34,3.93341438100152e-31
"MSTRG.10148",-3.91995239132191,3.25894998506036e-07,6.32071665873992e-06
"MSTRG.5624",3.24381813862616,1.01538823329647e-09,3.4033637748169e-08
"MSTRG.6770",-6.10352146787609,1.10344370647554e-40,1.4338826564224e-37
"MSTRG.6670",-6.24496726527155,6.25887204925729e-29,3.02088930080295e-26
"MSTRG.5623",3.85078893281715,1.76377329679445e-40,1.98636148684991e-37
"MSTRG.14401",-3.95907103777409,1.36911383206092e-40,1.65203142607179e-37
"MSTRG.2420",-6.12819241101279,3.38172589475863e-16,3.38032517989098e-14
"MSTRG.825",-3.38069148746623,5.64147114141106e-21,1.19126714989821e-18
"MSTRG.8250",-1.35782471975202,0.00103962587548452,0.00664487321776766
"MSTRG.17140",1.75850465486232,4.82149415611147e-49,1.01811875973989e-45
"MSTRG.7547",0.556192893982304,1.84649881925975e-28,8.43051474425811e-26
"MSTRG.17162",-2.04396183377164,2.05998270785002e-07,4.23349001018374e-06
"MSTRG.15106",0.371612285105318,3.24818103057935e-06,4.70596244850574e-05
"MSTRG.7993",1.0535151602329,1.4447408522299e-21,3.43746580517179e-19
"MSTRG.6305",0.688725028071423,1.32681535108767e-17,1.67267848700926e-15
"MSTRG.3563",-3.67036885398819,7.16492531964507e-22,1.83389520340552e-19
"MSTRG.953",3.42283754046418,1.69609415445353e-22,4.62130944373928e-20
"MSTRG.9534",0.706000549876128,2.47286874040113e-07,4.96720233431585e-06
"MSTRG.9536",-0.618397492097005,0.000399913171950225,0.00298134740236326
"MSTRG.16906",2.49820050997866,7.43489367515971e-23,2.16547687680126e-20
"MSTRG.169",-3.36800900978644,3.90857027962745e-13,2.44546213828691e-11
"MSTRG.16973",2.73651248018102,1.32018689148119e-10,5.32265325961617e-09
"MSTRG.16919",-1.15621273751921,1.90917980950017e-09,6.06236363193352e-08
"MSTRG.16952",-1.41834487251716,6.38664751993818e-09,1.82246007693101e-07
"MSTRG.16920",-0.865029918164783,2.13082281136525e-07,4.35259851903182e-06
"MSTRG.16969",0.965606177971422,4.54671020666185e-07,8.4218832808266e-06
"MSTRG.16937",2.78670336824288,3.43292125671412e-06,4.96085019586584e-05
"MSTRG.1693",0.951958922377363,1.11004413019553e-05,0.000139940115607412
"MSTRG.16903",-1.48166046696467,1.15872708949313e-05,0.00014531831271572
"MSTRG.1690",-0.486710284327623,0.000121070731643295,0.00109900476606673
"MSTRG.16974",2.281272734731,0.000242837115732246,0.00195438179898277
"MSTRG.16907",-0.734475665699802,0.000272928104057506,0.00215346775424729
"MSTRG.16953",2.37914760152858,0.000673702534921063,0.00458591628077729
"MSTRG.16901",0.433778053625512,0.00074316492909356,0.00498977947026133
"MSTRG.16939",-0.695471883653124,0.000790449951790917,0.00525091271553439
"MSTRG.1699",-0.31961904360386,0.00164902809604074,0.00963916235789148
"MSTRG.10867",2.58734054487899,3.666252145233e-29,1.87678780270973e-26
"MSTRG.8307",2.08427774068022,1.59764482290981e-24,5.50198121400971e-22
"MSTRG.1262",-0.572052980912279,1.33788387578347e-10,5.38116007466909e-09
"MSTRG.14057",-1.50568817600636,2.03877924758058e-23,6.4983203451658e-21
"MSTRG.8127",-2.85726412294381,2.95216282649188e-31,1.84706987510842e-28
"MSTRG.7927",1.31734997622729,1.34142655651392e-26,5.39540924266419e-24
"MSTRG.8230",3.32930282872415,1.17146122971164e-09,3.87269952123653e-08
